Ticker,mean,min,max,std
DBA,0.5657926861935749,0.3568751264179888,0.7729177915157948,0.06932550234714396
DBC,0.5826912858423371,0.367052507933882,0.7833394104820688,0.07587358561576402
EEM,0.5409655834217499,0.3617288677251425,0.6698309561902747,0.05621740523201488
EFA,0.5465062383296426,0.4047507582520024,0.6962134483136687,0.05749888984253108
FXE,0.5615875967734623,0.3471552091486448,0.7337193194314151,0.06516997373250338
FXY,0.5740396841277785,0.4173570046246716,0.7785809171208519,0.057012835161376944
GLD,0.58108220499139,0.4450227695232032,0.7261042108459856,0.0441290811994103
HYG,0.5610538079998193,0.4031061275354123,0.7040781362575782,0.060355712339075246
IEF,0.57235489923021,0.3829844138072429,0.7039738380952684,0.04771838237001451
IWM,0.555113175251107,0.3607662695786782,0.7500746306369891,0.06624652762836211
LQD,0.5846697983172598,0.3806373694487773,0.74478755445697,0.06720745335273556
QQQ,0.5428077491456572,0.4047288652876385,0.6765302777889824,0.059415570457385596
SLV,0.579776195610612,0.3971720153306709,0.7369492734294391,0.05388593322441718
SPY,0.5426315324465856,0.3739181112647951,0.7306004678879152,0.06107020588081716
TLT,0.5663293500470894,0.3835996546607025,0.728870663632815,0.05665745032844514
USO,0.5901079991694143,0.3671306713843975,0.7735554778752133,0.07821072899092864
UUP,0.5511407829164272,0.3711137681604938,0.7450624981197211,0.06232314885032598
VNQ,0.5591416692581529,0.3465683639619532,0.743425421281958,0.06403783548129209
XLE,0.5688350542908066,0.362973123198298,0.7288982818608701,0.06540394862009077
XLK,0.5338424862196564,0.3798386519831662,0.668097234203763,0.055796012908117615
