simulation,mean,min,max,std
1,0.5736997283290008,0.3782518542113943,0.7795343077013552,0.07462006772033634
2,0.5681242376591118,0.37274145789791424,0.7936591769941246,0.06610556781008045
3,0.5859735308792766,0.3946854122515273,0.7917499746305283,0.07407340902186292
4,0.5536017495180667,0.3507019423785512,0.7074988864593624,0.059344552569609986
5,0.5665529248762753,0.363453808044778,0.8965131532226478,0.07718867799084927
6,0.5535158105365042,0.3642038880814672,0.7396628668541728,0.06259112985707076
7,0.565844337207431,0.3473791796378768,0.7336901902180377,0.07102976108285347
8,0.5675555441090122,0.3373463139331459,0.7646237273658295,0.08234500395352932
9,0.5669231654879221,0.3401228832775871,0.7240410209203128,0.0701455804073663
10,0.5400029967099688,0.32598249554940467,0.7388312410575877,0.07704713531940173
11,0.575946146925485,0.37726287898324395,0.7894000322923211,0.07520549424865626
12,0.5807581832729517,0.3925826270471597,0.7385063066358558,0.06492223142846262
13,0.5732452955161675,0.3750715360663898,0.7890750495114474,0.07636962146199322
14,0.5696384595847055,0.4179115794339727,0.764522966272583,0.06147067417008126
15,0.5709785487579105,0.3546759121157139,0.7446304473887368,0.0714720250505147
16,0.5710979035516363,0.3900079546545656,0.7044647451946289,0.05734401925726131
17,0.5480017042719102,0.36720758727722763,0.7301054797496866,0.0685337344470116
18,0.580652881140909,0.4207568596261043,0.7212590060199197,0.055259954320746395
19,0.5534749061730851,0.34077184135200034,0.8149371988463104,0.08052875787156392
20,0.5716827878646711,0.37202601034242955,0.7405376281895785,0.060309735474911225
21,0.5904763435481415,0.4065453780097719,0.8026473895437033,0.06390541802055795
22,0.5584211645009503,0.38479456689409164,0.7510963013572991,0.06947896502896596
23,0.5860692795296301,0.35563194159339595,0.7476027805567068,0.07340038751076726
24,0.6090060291606806,0.3752637040965693,0.774761597272682,0.07264470367336658
25,0.5734859228561254,0.37682285302019886,0.7267184978377785,0.056894691146671394
26,0.5835543691222074,0.38216413432174917,0.7248104758327558,0.06460060405858971
27,0.5613032607719576,0.376273300254774,0.7720878981532893,0.07067215985734429
