Date,DBA,DBC,EEM,EFA,FXE,FXY,GLD,HYG,IEF,IWM,LQD,QQQ,SLV,SPY,TLT,USO,UUP,VNQ,XLE,XLK
2016-03-09,2.8657084942021975,2.428099715354502,3.251476346957713,3.7094724584856307,4.626571463673519,4.447228990771704,4.783985618765141,3.8419484366646666,4.456069523249578,4.5371836700509105,4.385512145624207,4.577418968440901,2.6762154592044345,5.124493537125984,4.572575615911938,4.3969152095844075,3.047793452935875,3.9616952470869338,2.9936031240625782,2.9356389158023037
2016-03-10,2.8749655483178884,2.4266071870615966,3.253017965987779,3.7078625955840057,4.642526195564469,4.448984113501678,4.799914262780603,3.8488728429911268,4.452488521945162,4.529004269330524,4.389661996084974,4.575891264772731,2.695977599275783,5.125295421074366,4.5684643498711415,4.38601865214392,3.0378311015011787,3.9580500580295404,2.9944257449104406,2.9346921627831404
2016-03-11,2.8846181448035337,2.4303343392614,3.2737503036759614,3.733663620591989,4.639869446448076,4.443709476823395,4.782562980213657,3.8608751408177633,4.4496329455576795,4.550207012426667,4.392505727818114,4.593225350342109,2.689207131441274,5.141303884109457,4.558309049178078,4.400848347735205,3.0370299849811384,3.9802176356351,3.019924384282625,2.949970123582672
2016-03-14,2.890365188118182,2.4213656405457096,3.267697014760757,3.731567961230503,4.634903338027172,4.443944544660195,4.769582345540268,3.8580713119487964,4.450370873603,4.5476160065155895,4.395427028508997,4.5949142977453485,2.6796507213477314,5.140020683259678,4.56144497022031,4.369954065022701,3.041029803095063,3.9803408444444357,3.0133278713236606,2.951135693722464
2016-03-15,2.889409673639112,2.4130732308380516,3.253325901613605,3.722082716947895,4.636193055996361,4.4496852653220085,4.770345576185738,3.84874963417169,4.450186309010124,4.531926485395076,4.39508407661405,4.594539231106876,2.6769034694817853,5.1383894306963045,4.562383601180313,4.351567407525785,3.0418279961836316,3.9808333142717345,3.0113890363402334,2.9548569711922545
2016-03-16,2.8941784587269366,2.4303343392614,3.273146649934385,3.730868370055541,4.6471812681851725,4.453998412385528,4.792396331747233,3.855381443722073,4.4554276025469965,4.53896116226478,4.3998782928575935,4.603409145298982,2.6993457527759697,5.144160290724575,4.565350477554983,4.399866582780187,3.0309996853325476,3.9928242801096347,3.0285466147354425,2.9663959816885384
2016-03-17,2.900343822635415,2.441433329785052,3.2949481412403436,3.7385365410683744,4.654801845192091,4.464988134322252,4.788574466869869,3.86172721847869,4.456527811176807,4.554173189445476,4.402948716282076,4.602851368014709,2.7186603701490615,5.150484008776562,4.569473985637273,4.435567419681045,3.022089220496778,4.006833890128673,3.0421261187874395,2.9700611034902273
2016-03-18,2.89750306549535,2.4406971453327073,3.300251731102726,3.7367992161383614,4.650726439596287,4.462223180188876,4.78582371115512,3.8640354785013837,4.458266968198521,4.563154591786964,4.405244943536695,4.604417339193484,2.7100481859984953,5.154406187725858,4.571568477176637,4.428910176892991,3.0245271224043466,4.002507063478983,3.0449972547895268,2.971668030240231
2016-03-21,2.8956045233731595,2.4436383056272377,3.3023066696556946,3.735232783931195,4.648000489653274,4.460837786893386,4.778787294455806,3.8629428364428273,4.4554276025469965,4.560779380421646,4.404054530027687,4.608321115639074,2.7120422502347417,5.155823990292274,4.563867742106494,4.439351715701828,3.0277686867984754,3.9934408282700096,3.041525685242369,2.9751034555231377
2016-03-22,2.9008166558686668,2.4509536641471716,3.2999578435329346,3.733489339969925,4.64563203265508,4.456554189985172,4.781725127424997,3.860266057620123,4.4533160867668835,4.559589975180296,4.402181666675874,4.611377913637273,2.716018363182543,5.155286300089015,4.563633872758554,4.434619081173794,3.0305964615441923,3.9934408282700096,3.0359789072734604,2.975332116698357
2016-03-23,2.892273588169312,2.429590103319043,3.282762010783851,3.723317036873453,4.642068354667354,4.455393218131712,4.758835038766368,3.8556266212956,4.457900974141641,4.540931017826406,4.407196993738798,4.603112635501456,2.674838082670172,5.148665258097603,4.574894617684289,4.392966540753486,3.035826830704264,3.9880180378646215,3.0138019015052135,2.969601311093365
2016-03-24,2.883176208400326,2.4236155153797667,3.2803670575119908,3.7165962657885028,4.642159969027138,4.452135521367727,4.756430995568851,3.8512113362808877,4.456893954103287,4.543920602574041,4.406773023745578,4.6033924073348285,2.669309393934482,5.14822175489368,4.575280818404174,4.38800874806283,3.03622795141102,3.9883883525451282,3.018665042211754,2.97235631393715
2016-03-28,2.8874956887495284,2.4266071870615966,3.2836589097179294,3.7226118319091936,4.643897507743582,4.446408890026312,4.758749260829952,3.8466518623664996,4.458358512055692,4.545132507174688,4.407366698784861,4.6019924586405665,2.671386219368722,5.1488123400234755,4.576592566505394,4.383026157872283,3.034220186360327,3.997366159737551,3.013314377847756,2.969831037978279
2016-03-29,2.8898875980121987,2.4243642938985825,3.2973087498939075,3.7333146640787715,4.6523583480034745,4.453765696322659,4.7771046678833535,3.850472690931897,4.4651028495422835,4.5725187050358524,4.411849764201988,4.6179232961080885,2.681021554842354,5.158020147576102,4.587023121085644,4.361823946819103,3.0253385917209252,4.018804584261498,3.0180181748109027,2.985338902907536
2016-03-30,2.878354646107,2.420614697235357,3.307571338678915,3.74079115809219,4.655704941567622,4.455160915115713,4.763028257573109,3.854034276556157,4.463739547120369,4.572609429843179,4.410667655262069,4.622781600878265,2.673458740536743,5.162398307775155,4.5764384479456774,4.354655390831122,3.022089220496778,4.016885540974319,3.019957988477251,2.9912055371299346
2016-03-31,2.873995090466435,2.419110946991431,3.3066957814244224,3.730868370055541,4.659580036863659,4.454579788330554,4.767629108497495,3.855381443722073,4.467371277605941,4.575415466118442,4.414631089099266,4.621317419931478,2.6864860439749103,5.1599685678235305,4.583506784640916,4.351567407525785,3.020460520364401,4.022989854132794,3.0194729919138825,2.989178365206501
2016-04-01,2.868640997055551,2.401653308728513,3.3037718717940736,3.7201393672925636,4.660569062230069,4.462107782019512,4.761575467762128,3.8561069530823895,4.467080691490479,4.579834849805311,4.417849674501513,4.631884292710757,2.663052845812192,5.166757470234621,4.586111700084976,4.312676548361817,3.0200528374387283,4.021676500993968,3.00597172421459,2.9968143943015026
2016-04-04,2.8578460361919036,2.3877747321408997,3.2916934446115387,3.718015328111786,4.660658925141552,4.4655632456375844,4.754882472353559,3.853646207267941,4.468260464884477,4.571430232877436,4.417933953528073,4.628071152498901,2.653241951175182,5.163514064664316,4.586724043340801,4.285515725890621,3.019237252088152,4.020241470912713,2.99857466187042,2.993003524911815
2016-04-05,2.8524044296634057,2.385443012891006,3.2719382481566335,3.6981487051615454,4.659849940311962,4.47346573676695,4.7677991405608156,3.849943048085938,4.472242423223875,4.560021561458145,4.421125251721346,4.618382535530439,2.6686161371476453,5.15347600597808,4.597601023638976,4.291007248821315,3.0200528374387283,4.013638242657828,2.99178697055349,2.983300177427353
2016-04-06,2.853396057672312,2.39627896316743,3.2839574828964224,3.7142865554060767,4.661197500272703,4.479153386943957,4.76166100362495,3.8583177630759713,4.4700724514979715,4.571248639837199,4.420286205923577,4.6346891368117165,2.663052845812192,5.164337875495533,4.590311654981585,4.341204679890056,3.018012485593718,4.016044795803177,3.0131516921692474,2.993003524911815
2016-04-07,2.8474315964904027,2.393194853104772,3.263742825551269,3.699593603484256,4.659040372788729,4.491665447586995,4.775840805187054,3.8533998154986064,4.475219324544157,4.557631847211131,4.4229679458060955,4.620217988348563,2.6727683553440564,5.152299810760335,4.6025807767895905,4.331785442304625,3.019237252088152,4.009776459325196,3.0072807046892467,2.9785271190542613
2016-04-08,2.8588321761000577,2.4168511583040013,3.2809662979254814,3.7185464138398827,4.661467544513562,4.49356803670337,4.774322071310249,3.8579490702681447,4.473687126573689,4.561580696788627,4.420705954445868,4.619484361857531,2.6823904464939363,5.154993220811966,4.5962383563669755,4.385022117030668,3.015558349743729,4.015323623548256,3.027198936565457,2.9785271190542613
2016-04-11,2.851412037699488,2.4243642938985825,3.2937659563091386,3.719077772849065,4.661557038280698,4.496470735042924,4.78774170136727,3.8592969288276437,4.473506206724996,4.558459591717123,4.420621541699787,4.615807681582889,2.7173402706858383,5.152643106242291,4.5949495228831205,4.40964177573129,3.0130985511931137,4.013277094041387,3.023021646514668,2.975789184962311
