,Asset,Observed_hurst,Null_Mean,Null_Std,Null_Min,Null_Max,Null_Lower_95,Null_Upper_95,P_Value
0,DBA,0.5641446323275416,0.5399269673663528,0.03144480662326391,0.4540153700295874,0.638964987548839,0.47918695492462565,0.6015249387159527,0.46253746253746253
1,DBC,0.6091606481958424,0.5399269673663528,0.03144480662326391,0.4540153700295874,0.638964987548839,0.47918695492462565,0.6015249387159527,0.026973026973026972
2,EEM,0.5167998110451621,0.5399269673663528,0.03144480662326391,0.4540153700295874,0.638964987548839,0.47918695492462565,0.6015249387159527,0.4785214785214785
3,EFA,0.5378685547762025,0.5399269673663528,0.03144480662326391,0.4540153700295874,0.638964987548839,0.47918695492462565,0.6015249387159527,0.9590409590409591
4,FXE,0.5192030514575823,0.5399269673663528,0.03144480662326391,0.4540153700295874,0.638964987548839,0.47918695492462565,0.6015249387159527,0.5104895104895105
5,FXY,0.5611281395323761,0.5399269673663528,0.03144480662326391,0.4540153700295874,0.638964987548839,0.47918695492462565,0.6015249387159527,0.5074925074925075
6,GLD,0.557516032549834,0.5399269673663528,0.03144480662326391,0.4540153700295874,0.638964987548839,0.47918695492462565,0.6015249387159527,0.5844155844155844
7,HYG,0.5486997505587734,0.5399269673663528,0.03144480662326391,0.4540153700295874,0.638964987548839,0.47918695492462565,0.6015249387159527,0.7972027972027972
8,IEF,0.5447347103105955,0.5399269673663528,0.03144480662326391,0.4540153700295874,0.638964987548839,0.47918695492462565,0.6015249387159527,0.8921078921078921
9,IWM,0.5520158406121269,0.5399269673663528,0.03144480662326391,0.4540153700295874,0.638964987548839,0.47918695492462565,0.6015249387159527,0.7142857142857143
10,LQD,0.5666074950016389,0.5399269673663528,0.03144480662326391,0.4540153700295874,0.638964987548839,0.47918695492462565,0.6015249387159527,0.41358641358641357
11,QQQ,0.5355180034323455,0.5399269673663528,0.03144480662326391,0.4540153700295874,0.638964987548839,0.47918695492462565,0.6015249387159527,0.9010989010989011
12,SLV,0.5624591983892627,0.5399269673663528,0.03144480662326391,0.4540153700295874,0.638964987548839,0.47918695492462565,0.6015249387159527,0.4865134865134865
13,SPY,0.549442525457894,0.5399269673663528,0.03144480662326391,0.4540153700295874,0.638964987548839,0.47918695492462565,0.6015249387159527,0.7802197802197802
14,TLT,0.5239289090996151,0.5399269673663528,0.03144480662326391,0.4540153700295874,0.638964987548839,0.47918695492462565,0.6015249387159527,0.6223776223776224
15,USO,0.6108187573480868,0.5399269673663528,0.03144480662326391,0.4540153700295874,0.638964987548839,0.47918695492462565,0.6015249387159527,0.025974025974025976
16,UUP,0.5078887312275449,0.5399269673663528,0.03144480662326391,0.4540153700295874,0.638964987548839,0.47918695492462565,0.6015249387159527,0.3126873126873127
17,VNQ,0.5399681256172342,0.5399269673663528,0.03144480662326391,0.4540153700295874,0.638964987548839,0.47918695492462565,0.6015249387159527,1.0
18,XLE,0.5321706910624517,0.5399269673663528,0.03144480662326391,0.4540153700295874,0.638964987548839,0.47918695492462565,0.6015249387159527,0.8221778221778222
19,XLK,0.5253323107698349,0.5399269673663528,0.03144480662326391,0.4540153700295874,0.638964987548839,0.47918695492462565,0.6015249387159527,0.6573426573426573
