,simulation,hurst
0,1,0.5661214047171634
1,2,0.5808409879264765
2,3,0.5410806342784095
3,4,0.527126660634269
4,5,0.618480523858032
5,6,0.5470503154498252
6,7,0.5559025680548852
7,8,0.48306234104545576
8,9,0.5575399949846663
9,10,0.6015555232296103
10,11,0.5571013621450404
11,12,0.5488254089819119
12,13,0.5569260227098594
13,14,0.49685378646212003
14,15,0.5898841357460102
15,16,0.5423691638704584
16,17,0.521546748563633
17,18,0.5792734138596758
18,19,0.5237574661217584
19,20,0.5120904050843029
20,21,0.5736456724986462
21,22,0.5331991964374992
22,23,0.5295746720541737
23,24,0.48524169553925584
24,25,0.5240949588396893
25,26,0.5263051665453379
26,27,0.5424489082083979
27,28,0.502412045652802
28,29,0.5280213912353522
29,30,0.5664349515254229
30,31,0.5523591419651314
31,32,0.4748013898350124
32,33,0.5721380590007522
33,34,0.5217713176024278
34,35,0.53010048871749
35,36,0.5717439204955322
36,37,0.5128668098561605
37,38,0.5543687909799495
38,39,0.5703177376169085
39,40,0.5435123588600236
40,41,0.5332145028786414
41,42,0.482884328510946
42,43,0.5149843827449957
43,44,0.5567742360891003
44,45,0.5091070468250408
45,46,0.5646998985588363
46,47,0.5752118075236209
47,48,0.5935157517098222
48,49,0.4564196499314658
49,50,0.5863852414880257
50,51,0.5160517200523055
51,52,0.502254234880022
52,53,0.5903350688493891
53,54,0.5285328909165983
54,55,0.5325156829881792
55,56,0.5334350681355399
56,57,0.5504211703406621
57,58,0.5258837537933528
58,59,0.5435947709626296
59,60,0.5370032462026495
60,61,0.5340246312976554
61,62,0.4974499900444485
62,63,0.5087848428433358
63,64,0.5545965270702358
64,65,0.5302823576861442
65,66,0.5252709361322049
66,67,0.5576718811948255
67,68,0.5014199734716683
68,69,0.48165656461169154
69,70,0.5289921620189107
70,71,0.5358556771262681
71,72,0.560328674643804
72,73,0.5507081567913187
73,74,0.5480551353967096
74,75,0.5509980635516791
75,76,0.504588656046694
76,77,0.5446537626466459
77,78,0.5463129433922358
78,79,0.5216346892186293
79,80,0.5469500168295883
80,81,0.512054732888802
81,82,0.5421490996030249
82,83,0.5036355701389458
83,84,0.5762304642600621
84,85,0.5232686963339135
85,86,0.5379692464047641
86,87,0.555576635029482
87,88,0.5089020337132649
88,89,0.5664283840158006
89,90,0.5277445020559327
90,91,0.5561612633637133
91,92,0.5765954398197044
92,93,0.48406753849391204
93,94,0.5938911195367648
94,95,0.5063566767113972
95,96,0.5618144171104343
96,97,0.5703660920078857
97,98,0.5115068407693917
98,99,0.5691706072333537
99,100,0.56219537958019
100,101,0.5136698957584676
101,102,0.5864075950603065
102,103,0.4876850837018001
103,104,0.5313521032450995
104,105,0.5261063826579501
105,106,0.5396079433483292
106,107,0.48807077115390296
107,108,0.5517109984033742
108,109,0.5596946726605877
109,110,0.5400405748221409
110,111,0.638964987548839
111,112,0.5381064624172817
112,113,0.4708081306761686
113,114,0.5142771162882672
114,115,0.5514491147359495
115,116,0.5431429319331083
116,117,0.5883339319299743
117,118,0.49973107300398495
118,119,0.5169126778961781
119,120,0.4885416855006258
120,121,0.5197124797160465
121,122,0.5212097681728348
122,123,0.5088753809105343
123,124,0.5160556231377055
124,125,0.5430787081579946
125,126,0.5352119851091262
126,127,0.525530867867163
127,128,0.57677610669394
128,129,0.5559643203385868
129,130,0.5688125772952429
130,131,0.5207751919190218
131,132,0.49826308262001473
132,133,0.571736499235708
133,134,0.5451273539121307
134,135,0.4933709820568388
135,136,0.5229930530250091
136,137,0.5861239795654641
137,138,0.531154082509902
138,139,0.5042395914633564
139,140,0.5610071988811213
140,141,0.5205562887268746
141,142,0.5616920270526315
142,143,0.5245153862418819
143,144,0.5090759495188985
144,145,0.5577519507857797
145,146,0.55351404645723
146,147,0.5146278496083386
147,148,0.5818170414624102
148,149,0.5419370757220943
149,150,0.5175886482472981
150,151,0.5797342590792518
151,152,0.5203664717538989
152,153,0.5510547399327159
153,154,0.5075267973596215
154,155,0.558809638851198
155,156,0.6015241544976537
156,157,0.5072845153203527
157,158,0.5661163479289858
158,159,0.4935469753463777
159,160,0.547578221352996
160,161,0.5328061064963683
161,162,0.5090192572731891
162,163,0.5416315647410073
163,164,0.5200838177577539
164,165,0.5065834941391525
165,166,0.5050472801357377
166,167,0.523603965151757
167,168,0.514701075072541
168,169,0.5538245066035091
169,170,0.5386541578235694
170,171,0.5035968172800926
171,172,0.5564265001869612
172,173,0.49444130296320193
173,174,0.5303876129461953
174,175,0.5673597245960843
175,176,0.5103390086876666
176,177,0.6138927563603293
177,178,0.5249045819521602
178,179,0.5807990410042129
179,180,0.5851616315268948
180,181,0.5648670501305537
181,182,0.5091265545005745
182,183,0.5353026809202716
183,184,0.5432216169430706
184,185,0.5441238745118346
185,186,0.5213187206250182
186,187,0.4739182838168306
187,188,0.5083748061467698
188,189,0.5625201273654203
189,190,0.5259660263748679
190,191,0.5068335558232606
191,192,0.5571191951984068
192,193,0.5336717955100806
193,194,0.6203118237145002
194,195,0.5421986068151202
195,196,0.46813682464655576
196,197,0.5945624066150175
197,198,0.5992080256016575
198,199,0.5633250481927207
199,200,0.5810014213357682
200,201,0.4814520143481934
201,202,0.5088911818632532
202,203,0.559170915544078
203,204,0.5284183372680301
204,205,0.5238855864272928
205,206,0.5314867226034754
206,207,0.552083106792308
207,208,0.5533079003944463
208,209,0.5408886148199517
209,210,0.5303293680638146
210,211,0.5207572311539573
211,212,0.5460608365508861
212,213,0.5697096184419853
213,214,0.5459787099192962
214,215,0.46307184646083904
215,216,0.5060502169196874
216,217,0.5695410711234778
217,218,0.4703214395290428
218,219,0.5674010332801631
219,220,0.5477332450960168
220,221,0.5210414753308125
221,222,0.537391971128117
222,223,0.5267799909827122
223,224,0.48912486517124387
224,225,0.5287362182285145
225,226,0.5528335990376572
226,227,0.5098812304701671
227,228,0.5370828905984606
228,229,0.5864579867980345
229,230,0.5371425592701192
230,231,0.5030955422742655
231,232,0.5328994595836825
232,233,0.49265362626901105
233,234,0.5381134302873819
234,235,0.566096767631982
235,236,0.5463369274376141
236,237,0.5702226820581089
237,238,0.5510236905433208
238,239,0.5656922698681635
239,240,0.5516858260478972
240,241,0.5663771762637165
241,242,0.530038546662084
242,243,0.4679303629616449
243,244,0.5101375358471869
244,245,0.5422024460656407
245,246,0.5481531430242309
246,247,0.5274448460768417
247,248,0.5327057548712663
248,249,0.49763604437924813
249,250,0.5251186223333204
250,251,0.5113096154389067
251,252,0.5027966811491751
252,253,0.502930391805425
253,254,0.5119439887660119
254,255,0.5458336338940976
255,256,0.49638289818690196
256,257,0.6005707447709377
257,258,0.5184713750239626
258,259,0.5387574039216044
259,260,0.5359020440688324
260,261,0.5272457717738281
261,262,0.568783981829965
262,263,0.5147698470419804
263,264,0.5091917744749344
264,265,0.537052491417992
265,266,0.50807672497796
266,267,0.5260930410614415
267,268,0.5426617978004098
268,269,0.5665060648044007
269,270,0.5621964012991086
270,271,0.528635122435164
271,272,0.5130025052502983
272,273,0.551188980189568
273,274,0.4960790597347174
274,275,0.5482877324141081
275,276,0.5227712667128558
276,277,0.4913712465093791
277,278,0.4989398692994867
278,279,0.5411049767988777
279,280,0.5278625767595158
280,281,0.575475488704062
281,282,0.5343216498945897
282,283,0.5447497854726561
283,284,0.5662167698146883
284,285,0.5880417073201896
285,286,0.5595992093391893
286,287,0.5405162573299018
287,288,0.4645908564587625
288,289,0.5221078743955793
289,290,0.5146095785926849
290,291,0.4859441850935864
291,292,0.5075448615974445
292,293,0.5313541657628322
293,294,0.5663191030102378
294,295,0.5545833708693471
295,296,0.55126891661122
296,297,0.49924172844219356
297,298,0.631047535396982
298,299,0.5249626524837417
299,300,0.5777907177157935
300,301,0.5410945143991396
301,302,0.5632419454401721
302,303,0.5572896492554221
303,304,0.5317182310043181
304,305,0.5701073450018506
305,306,0.5667902857141192
306,307,0.4799223864388423
307,308,0.5102623216883098
308,309,0.5699504598005658
309,310,0.5344191729911872
310,311,0.5658621658018853
311,312,0.5733704838869548
312,313,0.5576447331029224
313,314,0.5769993560974684
314,315,0.5546844560961034
315,316,0.5765945260801566
316,317,0.5224611478905755
317,318,0.5515851937691649
318,319,0.507309829932892
319,320,0.5518227748189428
320,321,0.6064755319711375
321,322,0.5571795534519919
322,323,0.5535751131215748
323,324,0.49114834266126123
324,325,0.6082607038790782
325,326,0.49552497550164837
326,327,0.578141657045272
327,328,0.5518619411204736
328,329,0.5704037554172801
329,330,0.523069155754896
330,331,0.5175198559402661
331,332,0.5281764595494501
332,333,0.5847035366099314
333,334,0.5542736491800647
334,335,0.5406115694124071
335,336,0.5537578560326457
336,337,0.527204992807816
337,338,0.5661613458319876
338,339,0.5207252818312955
339,340,0.5317539107072291
340,341,0.5837109580056504
341,342,0.4925409820208565
342,343,0.5035269889171659
343,344,0.48205130343162567
344,345,0.5511190606426032
345,346,0.5601331021725489
346,347,0.5557510280596231
347,348,0.5620057120821309
348,349,0.5009972059874765
349,350,0.5594196541965842
350,351,0.547049704862829
351,352,0.509489861319191
352,353,0.5937717252689433
353,354,0.5777771797493715
354,355,0.5515462055090464
355,356,0.5503979783006737
356,357,0.5450759423284637
357,358,0.4924130875955168
358,359,0.4767679249895787
359,360,0.5619466645509155
360,361,0.5505918061046762
361,362,0.5536169157880688
362,363,0.5573490168780818
363,364,0.576661968756749
364,365,0.5172889624115029
365,366,0.45709881907706906
366,367,0.511472238644526
367,368,0.5746817327512644
368,369,0.5799743045808806
369,370,0.5474845728739551
370,371,0.4867559935958304
371,372,0.524112115455008
372,373,0.5095196441574867
373,374,0.5425405978205321
374,375,0.5242117608418998
375,376,0.5535870217074796
376,377,0.5637445915307673
377,378,0.5393577554343247
378,379,0.5559663229061496
379,380,0.5306750703274945
380,381,0.5578011937678734
381,382,0.5750009669654415
382,383,0.5755447297338527
383,384,0.528335881436203
384,385,0.5018495204876495
385,386,0.5026320397918366
386,387,0.5419994938666225
387,388,0.49686829477549005
388,389,0.4956121297646781
389,390,0.5248330685862131
390,391,0.5044513342497933
391,392,0.5348849412912011
392,393,0.5239302925155502
393,394,0.5559895863216872
394,395,0.4974508788494154
395,396,0.5098708006861886
396,397,0.49976826110012873
397,398,0.5338136160944228
398,399,0.47924348493847857
