Split,Model,Log_Loss,ROC_AUC,Accuracy,Naive_Accuracy
Validation,Baseline,0.6800,0.5690,0.5953,0.5583
Validation,Hurst,0.6802,0.5619,0.5948,0.5583
Test,Baseline,0.6921,0.5615,0.5263,0.5023
Test,Hurst,0.6926,0.5563,0.5211,0.5023
